date,value,Volume,Open,High,Low
1/15/2019,48.6,22401790,$48.71 ,$49.13 ,$48.44 
1/16/2019,48.13,18936240,$48.60 ,$48.89 ,$48.08 
1/17/2019,48.47,17224030,$48.00 ,$48.84 ,$47.91 
1/18/2019,49.19,29788730,$49.11 ,$49.38 ,$48.69 
1/22/2019,48.27,25930810,$48.96 ,$48.98 ,$47.87 
1/23/2019,47.94,18876580,$48.41 ,$48.80 ,$47.52 
1/24/2019,49.76,49770590,$48.70 ,$50.04 ,$48.60 
1/25/2019,47.04,86449630,$46.85 ,$47.43 ,$45.75 
1/28/2019,46.71,35518250,$46.13 ,$46.73 ,$46.05 
1/29/2019,46.54,20915270,$46.78 ,$46.97 ,$46.33 
1/30/2019,47.54,26746480,$46.68 ,$47.68 ,$46.45 
1/31/2019,47.12,41457610,$46.70 ,$47.18 ,$46.10 
2/1/2019,48.73,37424720,$47.06 ,$49.05 ,$47.01 
2/4/2019,49.22,20851710,$48.62 ,$49.24 ,$48.24 
2/5/2019,50.01,31577230,$49.18 ,$50.72 ,$49.18 
2/6/2019,49.9,21642300,$49.95 ,$50.64 ,$49.82 
2/7/2019,49.23,27807690,$49.50 ,$49.85 ,$48.68 
2/8/2019,48.84,18848690,$48.77 ,$49.02 ,$48.01 
2/11/2019,48.77,17998810,$49.02 ,$49.32 ,$48.58 
2/12/2019,50.01,18039220,$49.36 ,$50.14 ,$49.27 
2/13/2019,50.47,17501310,$50.13 ,$50.81 ,$50.00 
2/14/2019,50.81,17530450,$50.41 ,$51.04 ,$50.35 
2/15/2019,51.66,22512380,$51.25 ,$51.67 ,$51.09 
2/19/2019,51.4,15579990,$51.35 ,$51.71 ,$51.34 
2/20/2019,51.39,20795430,$51.63 ,$51.73 ,$51.06 
2/21/2019,51.41,16090480,$51.32 ,$51.84 ,$51.21 
2/22/2019,52.49,31916620,$52.70 ,$52.98 ,$52.06 
2/25/2019,53.1,20558900,$53.06 ,$53.61 ,$52.86 
2/26/2019,53.23,16029950,$53.01 ,$53.37 ,$52.91 
2/27/2019,53.24,17588260,$52.76 ,$53.38 ,$52.51 
2/28/2019,52.96,18124460,$52.92 ,$53.18 ,$52.81 
3/1/2019,53.3,18297780,$53.44 ,$53.68 ,$52.89 
3/4/2019,53.94,21553130,$53.75 ,$54.10 ,$53.21 
3/5/2019,53.68,20073560,$53.85 ,$53.99 ,$53.11 
3/6/2019,52.95,14707390,$53.63 ,$53.65 ,$52.94 
3/7/2019,52.6,17802960,$52.77 ,$52.99 ,$52.36 
3/8/2019,52.48,16789600,$51.97 ,$52.56 ,$51.70 
3/11/2019,53.35,18125150,$52.88 ,$53.65 ,$52.57 
3/12/2019,53.57,20759890,$53.34 ,$53.96 ,$53.18 
3/13/2019,54.37,25516130,$54.00 ,$54.57 ,$53.65 
3/14/2019,53.44,26581850,$54.30 ,$54.45 ,$53.33 
3/15/2019,54.33,46483390,$53.68 ,$54.69 ,$53.68 
3/18/2019,54.1,15900080,$54.42 ,$54.51 ,$53.87 
3/19/2019,54.17,17045060,$54.47 ,$54.65 ,$54.00 
3/20/2019,53.82,23330720,$54.06 ,$54.40 ,$53.61 
3/21/2019,54.64,18715860,$53.92 ,$54.99 ,$53.84 
3/22/2019,53.26,21329170,$54.40 ,$54.62 ,$53.21 
3/25/2019,52.78,16638820,$52.97 ,$53.55 ,$52.38 
3/26/2019,53.44,17709670,$53.32 ,$53.77 ,$53.04 
3/27/2019,53.16,19185200,$53.59 ,$53.86 ,$52.94 
3/28/2019,53.11,13479770,$53.25 ,$53.44 ,$52.77 
3/29/2019,53.7,18568690,$53.80 ,$54.04 ,$53.48 
4/1/2019,54.51,17216940,$54.34 ,$54.57 ,$54.10 
4/2/2019,54.36,13507980,$54.53 ,$54.80 ,$54.23 
4/3/2019,55.48,24439760,$55.03 ,$55.99 ,$54.89 
4/4/2019,55.92,16421070,$55.27 ,$56.14 ,$55.27 
4/5/2019,55.6,18919000,$55.75 ,$55.95 ,$54.87 
4/8/2019,55.68,11751750,$55.28 ,$55.74 ,$55.20 
4/9/2019,55.32,13204510,$55.35 ,$55.43 ,$54.90 
4/10/2019,55.75,12841760,$55.32 ,$55.86 ,$55.32 
4/11/2019,55.8,10807340,$55.76 ,$56.07 ,$55.63 
4/12/2019,56.42,12639630,$56.21 ,$56.49 ,$55.84 
4/15/2019,56.28,10986910,$56.46 ,$56.56 ,$55.92 
4/16/2019,56.71,30057100,$56.66 ,$57.47 ,$56.07 
4/17/2019,58.56,38572210,$58.44 ,$59.59 ,$58.12 
4/18/2019,58.49,20014510,$58.71 ,$58.88 ,$58.12 
4/22/2019,58.82,12313140,$58.15 ,$58.83 ,$57.88 
4/23/2019,58.78,17016380,$58.89 ,$58.98 ,$58.50 
4/24/2019,58.72,17603860,$58.52 ,$59.29 ,$58.14 
4/25/2019,57.61,27494710,$58.30 ,$58.38 ,$57.23 
4/26/2019,52.43,72319400,$52.74 ,$53.09 ,$51.52 
4/29/2019,51.11,38546980,$52.17 ,$52.43 ,$51.00 
4/30/2019,51.04,25617960,$51.00 ,$51.43 ,$50.87 
5/1/2019,50.76,20467580,$51.10 ,$51.60 ,$50.74 
5/2/2019,50.55,22655400,$50.80 ,$51.33 ,$50.12 
5/3/2019,51.75,25656640,$51.08 ,$51.82 ,$50.73 
5/6/2019,51.22,26245240,$50.25 ,$51.28 ,$50.19 
5/7/2019,50.48,29713380,$50.60 ,$50.88 ,$49.93 
5/8/2019,49.24,36812430,$50.20 ,$50.79 ,$49.07 
5/9/2019,46.62,59642160,$47.90 ,$48.29 ,$46.05 
5/10/2019,46.2,42522780,$46.44 ,$46.80 ,$45.10 
5/13/2019,44.76,39091930,$45.33 ,$45.64 ,$44.70 
5/14/2019,45.17,24706460,$45.18 ,$45.49 ,$44.87 
5/15/2019,45.62,23407890,$44.92 ,$45.75 ,$44.76 
5/16/2019,45.53,19954650,$45.47 ,$45.95 ,$45.42 
5/17/2019,44.89,22500360,$45.18 ,$45.73 ,$44.76 
5/20/2019,43.56,28674970,$44.00 ,$44.52 ,$43.45 
5/21/2019,44.46,25543370,$44.34 ,$44.78 ,$44.18 
5/22/2019,44,16932520,$44.15 ,$44.46 ,$43.85 
5/23/2019,44.53,35783930,$43.37 ,$44.74 ,$42.86 
5/24/2019,44.57,27168070,$44.59 ,$45.05 ,$44.49 
5/28/2019,43.57,34779860,$44.66 ,$44.69 ,$43.30 
5/29/2019,44.23,28450340,$43.35 ,$44.53 ,$43.33 
5/30/2019,44.73,21618860,$44.30 ,$45.03 ,$44.23 
5/31/2019,44.04,25532530,$44.18 ,$44.79 ,$43.93 
6/3/2019,43.46,31155680,$44.25 ,$44.59 ,$43.20 
6/4/2019,44.79,28094920,$44.16 ,$44.86 ,$43.77 
6/5/2019,44.55,20802010,$45.11 ,$45.18 ,$44.19 
6/6/2019,45.1,19076170,$44.75 ,$45.17 ,$44.51 
6/7/2019,46.03,24370250,$45.25 ,$46.12 ,$45.10 
6/10/2019,46.8,20806080,$46.23 ,$47.19 ,$46.20 
6/11/2019,46.85,18415500,$47.26 ,$47.32 ,$46.52 
6/12/2019,46.32,15900570,$46.67 ,$46.67 ,$46.25 
6/13/2019,46.7,12267630,$46.60 ,$46.96 ,$46.53 
6/14/2019,46.19,15381080,$45.83 ,$46.42 ,$45.55 
6/17/2019,46.13,12643340,$46.14 ,$46.53 ,$45.80 
6/18/2019,47.37,25732290,$46.75 ,$48.00 ,$46.60 
6/19/2019,47.07,17436380,$47.48 ,$47.58 ,$47.00 
6/20/2019,47.19,20126780,$47.87 ,$48.05 ,$46.87 
6/21/2019,47.46,31096250,$46.95 ,$47.73 ,$46.80 
6/24/2019,47.63,14479940,$47.40 ,$47.85 ,$47.17 
6/25/2019,46.85,16665580,$47.56 ,$47.68 ,$46.80 
6/26/2019,48.19,21886310,$47.65 ,$48.48 ,$47.56 
6/27/2019,47.46,23062950,$48.15 ,$48.42 ,$47.24 
6/28/2019,47.87,26646180,$47.77 ,$48.20 ,$47.68 
7/1/2019,48.05,27505450,$49.29 ,$49.45 ,$47.75 
7/2/2019,48.12,15384690,$47.91 ,$48.22 ,$47.69 
7/3/2019,48.52,10739100,$48.18 ,$48.56 ,$48.00 
7/5/2019,48.08,14339230,$48.03 ,$48.18 ,$47.44 
7/8/2019,47.82,16564290,$47.62 ,$47.95 ,$47.07 
7/9/2019,47.75,17853190,$47.36 ,$47.80 ,$47.13 
7/10/2019,48.21,16032270,$47.92 ,$48.61 ,$47.90 
7/11/2019,48.6,16615080,$48.56 ,$48.78 ,$48.31 
7/12/2019,49.92,20148730,$49.00 ,$49.93 ,$48.81 
7/15/2019,50.12,14345080,$50.00 ,$50.25 ,$49.77 
7/16/2019,49.17,17131370,$49.91 ,$50.00 ,$48.96 
7/17/2019,49.39,11928610,$49.50 ,$49.70 ,$49.24 
7/18/2019,49.94,15679640,$49.28 ,$49.99 ,$48.89 
7/19/2019,50.27,29141090,$49.96 ,$50.66 ,$49.91 
7/22/2019,51.35,21686530,$50.01 ,$51.52 ,$49.89 
7/23/2019,51.75,18413520,$52.00 ,$52.00 ,$51.30 
7/24/2019,52.92,20896370,$51.98 ,$52.97 ,$51.80 
7/25/2019,52.16,27765430,$52.51 ,$52.60 ,$51.88 
7/26/2019,51.59,36401550,$52.69 ,$53.50 ,$51.53 
7/29/2019,52.51,21897460,$51.53 ,$52.56 ,$50.78 
7/30/2019,51.7,16487690,$51.71 ,$52.31 ,$51.56 
7/31/2019,50.55,24169750,$51.51 ,$51.72 ,$50.05 
8/1/2019,49.5,34020780,$50.52 ,$51.89 ,$49.47 
8/2/2019,48.68,27881620,$49.09 ,$49.36 ,$48.50 
8/5/2019,46.97,38936650,$47.76 ,$47.96 ,$46.57 
8/6/2019,46.96,26119560,$47.15 ,$47.56 ,$46.77 
8/7/2019,46.73,29440390,$46.30 ,$46.88 ,$45.97 
8/8/2019,47.17,30643740,$46.16 ,$47.37 ,$45.91 
8/9/2019,45.98,24975460,$46.94 ,$47.00 ,$45.78 
8/12/2019,45.6,18494300,$45.76 ,$46.07 ,$45.44 
8/13/2019,46.84,29374660,$45.49 ,$47.05 ,$45.36 
8/14/2019,45.87,25650220,$46.06 ,$46.63 ,$45.65 
8/15/2019,45.7,21992680,$46.10 ,$46.18 ,$45.44 
8/16/2019,46.5,23335690,$46.34 ,$46.68 ,$46.06 
8/19/2019,47.23,21404920,$47.46 ,$47.60 ,$47.04 
8/20/2019,46.6,23115320,$47.03 ,$47.12 ,$46.46 
8/21/2019,47.15,15915800,$47.11 ,$47.29 ,$46.89 
8/22/2019,46.78,19785890,$47.28 ,$47.43 ,$46.69 
8/23/2019,44.96,32817080,$46.35 ,$46.63 ,$44.80 
8/26/2019,45.56,22086630,$45.82 ,$45.82 ,$45.25 
8/27/2019,45.79,16927570,$45.87 ,$46.12 ,$45.50 
8/28/2019,45.79,14895350,$45.70 ,$45.91 ,$45.37 
8/29/2019,46.87,17806110,$46.46 ,$47.22 ,$46.40 
